StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Storm Paths,Movie Budgets 1,Q47,Q48,Movie Budgets 2,Banana Conclusions ,COVID Map - 1/2,Q49,Q50,Q51,Q53,Q52,He Said She Said 1/3,Q54,Q55,Build-a-Plot,Q61,Q56,Q57,Realty Tree 1/2,Q58,Website Testing 1/3,Image Recognition1/1,DataConfidentiali1/1,Activity Journal 1/1,Movie Wrangling 1/6,Movie Wrangling 2/6,Movie Wrangling 3/6,Time_Spent,Consent
3/26/2025 13:02,3/26/2025 13:14,IP Address,152.7.224.62,100,735,TRUE,3/26/2025 13:14,R_1yk0DmSjzqmo1gd,,,,,35.7633,-78.71,anonymous,EN,1,City a,Plot A,Plot A,Plot A,Shop 1,"The headline is not misleading, because the small p-value indicates a relationship.",North Central,IA,TRUE,TRUE,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The peak in they KY plot is larger than the peak of the CA plot.",TRUE,TRUE,TRUE,TRUE,TRUE,A,False negative rate is larger,"$151,424 ","$262,972 ",There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 20 users visiting the website.,Old photos cannot be used to train a model to make predictions for current professory due to image quality.,Student’s name,Each row will represent a day.,Use bootstrapping,1,1,,"Yes, I agree to allow my responses to the assessment as research data."
3/26/2025 18:16,3/30/2025 12:19,IP Address,76.36.238.154,0,324138,FALSE,4/6/2025 12:19,R_6noZt21ZfG6LwZa,,,,,36.0229,-78.9464,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2025 18:12,3/31/2025 8:19,IP Address,152.3.43.55,3,50848,FALSE,4/7/2025 8:19,R_1lKc1YOGpMjPK62,,,,,35.961,-78.9291,anonymous,EN,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2025 20:50,3/30/2025 21:04,IP Address,152.3.43.48,100,879,TRUE,3/30/2025 21:04,R_6Wz7oFXd7cJXsPf,,,,,36.0229,-78.9464,anonymous,EN,1,City a,Plot C,Plot C,Plot B,Shop 1,The small p-value indicates no difference in scores on the SAT verbal section between people who eat bananas and people who do not.,South,WY,TRUE,TRUE,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",FALSE,TRUE,TRUE,TRUE,TRUE,B,False negative rate is larger,"$151,424 ","$501,876 ","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.","professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s class year,Each row will represent a different person keeping an activity journal.,"Use if-else statements,Use a lookup table",2,2,Probably like 30 min,"Yes, I agree to allow my responses to the assessment as research data."
3/31/2025 0:59,4/3/2025 8:20,IP Address,68.216.63.71,3,285673,FALSE,4/10/2025 8:20,R_7DdyMYTwEnv6fEh,,,,,36.0229,-78.9464,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2025 8:00,4/3/2025 16:45,IP Address,198.86.29.9,100,290716,TRUE,4/3/2025 16:45,R_5qm970joJmm8Acw,,,,,36.0251,-78.9217,anonymous,EN,0.899999976,City b,Plot C,Plot B,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CA,TRUE,TRUE,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",FALSE,TRUE,Need additional information to determine this,FALSE,FALSE,E,False negative rate is larger,"$151,424 ","$384,767 ","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.",Predicting profession from physical appearance is not possible as one’s choice of profession has nothing to go with their physical appearance.,Student’s class year,Each row will represent a different person keeping an activity journal.,"Use if-else statements,Use a lookup table,Use regular expressions",2,3,,"Yes, I agree to allow my responses to the assessment as research data."
3/31/2025 8:09,3/31/2025 8:10,IP Address,152.3.43.47,3,23,FALSE,4/7/2025 8:10,R_7wBOMFMaZwoN7sQ,,,,,36.0229,-78.9464,anonymous,EN,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2025 8:19,3/31/2025 8:37,IP Address,152.3.43.52,100,1074,TRUE,3/31/2025 8:37,R_5D0ek0tzByU1wCN,,,,,36.0229,-78.9464,anonymous,EN,0.899999976,City a,Plot C,Plot C,Plot A,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CA,FALSE,TRUE,Option 2,"No, we can not conclude a difference in total number of COVID cases. There is not enough information given on this graph to make the comparison.",FALSE,TRUE,TRUE,FALSE,FALSE,C,False positive rate is larger,"$151,424 ","$384,767 ","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.","professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s race and ethnicity,Each row will represent a different person keeping an activity journal.,"Use if-else statements,Use regular expressions",2,2,It took me about 40 minutes to complete. ,"Yes, I agree to allow my responses to the assessment as research data."
3/31/2025 8:19,3/31/2025 8:53,IP Address,152.3.43.55,100,2014,TRUE,3/31/2025 8:53,R_5ORehkKbGRZGi9X,,,,,36.0229,-78.9464,anonymous,EN,0.899999976,City a,Plot C,Plot B,Plot C,Shop 1,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,WY,TRUE,TRUE,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",FALSE,TRUE,Need additional information to determine this,FALSE,FALSE,A,False positive rate is larger,"$151,424 ",Can’t be determined from the information given,"There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.","professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s major,Each row will represent a different person keeping an activity journal.,Use if-else statements,2,2,30 minutes,"Yes, I agree to allow my responses to the assessment as research data."
3/31/2025 8:30,4/6/2025 13:44,IP Address,152.3.43.54,100,537230,TRUE,4/6/2025 13:44,R_5rATnvR5MkT5nRN,,,,,36.0229,-78.9464,anonymous,EN,1,City a,Plot C,Plot A,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CA,TRUE,TRUE,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",FALSE,TRUE,TRUE,FALSE,FALSE,B,False negative rate is larger,"$151,424 ","$384,767 ",There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,Predicting profession from physical appearance is not possible as one’s choice of profession has nothing to go with their physical appearance.,Student’s class year,Each row will represent a different person keeping an activity journal.,Use if-else statements,1,3,30 minutes,"Yes, I agree to allow my responses to the assessment as research data."
